operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_execution.keys,practice_execution.corr,practice_execution.rt,practice_encoding.rt,encoding.keys,encoding.rt,execution.keys,execution.corr,execution.rt,date,frameRate,expName,session,participant,
,,,,,,,,"('DOUBLE', 'DIVIDE', 'x', 'y')",DIVIDE,2,"(1, 2)",2,2,8,8,0,double,0,UBxy,,,,,0,17,17,2,,,,,,space,6.73061875987,2,1,1.65154276148,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('INCREASE', 'ADD', 'TRIPLE', 'x', 'y')",ADD,3,"(6, 8, 9)",9,9,2,2,triple,increase,0,UBUxy,,,,,0,0,0,6,,,,,,space,9.49352935015,9,1,4.53112032765,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DIVIDE', 'TRIPLE', 'HALF', 'x', 'y')",triple,3,"(4, 12, 4)",4,4,3,8,half,DIVIDE,0,BUUxy,,,,,0,1,1,4,,,,,,space,4.64266208827,3,0,9.12506749923,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'INCREASE', 'THIRD', 'x', 'y')",double,4,"(2, 3, 6, 2)",2,2,3,6,increase,DIVIDE,third,BUUUxy,,,,,0,2,2,10,,,,,,space,1.07734227937,4,0,0.262429565424,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('TRIPLE', 'DOUBLE', 'SUBTRACT', 'DECREASE', 'x', 'y')",double,4,"(4, 1, 2, 6)",6,6,3,5,SUBTRACT,triple,decrease,UUBUxy,,,,,0,3,3,15,,,,,,space,0.787971825106,6,1,0.421853679582,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DECREASE', 'TRIPLE', 'HALF', 'ADD', 'x', 'y')",triple,4,"(6, 3, 9, 8)",8,8,2,4,half,decrease,ADD,UUUBxy,,,,,0,4,4,16,,,,,,space,1.26716737112,7,0,1.04743719997,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DOUBLE', 'ADD', 'x', 'y')",ADD,2,"(4, 8)",8,8,2,2,0,double,0,UBxy,,,,,0,5,5,2,,,,,,space,2.83351677249,8,1,3.68740596913,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('ADD', 'THIRD', 'x', 'y')",third,2,"(1, 7)",7,7,6,3,0,ADD,0,BUxy,,,,,0,6,6,0,,,,,,space,3.47936597816,7,1,1.84648886893,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('THIRD', 'TIMES', 'HALF', 'INCREASE', 'x', 'y')",TIMES,4,"(8, 4, 12, 4)",4,4,3,7,half,third,increase,UBUUxy,,,,,0,7,7,13,,,,,,space,0.932701672544,4,1,0.0520850649336,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('INCREASE', 'SUBTRACT', 'THIRD', 'x', 'y')",SUBTRACT,3,"(3, 1, 2)",2,2,2,9,third,increase,0,UBUxy,,,,,0,8,8,7,,,,,,space,13.2072018285,2,1,3.29946970032,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('THIRD', 'INCREASE', 'ADD', 'DOUBLE', 'x', 'y')",increase,4,"(16, 20, 21, 7)",7,7,4,8,ADD,third,double,UUBUxy,,,,,0,9,9,14,,,,,,space,0.751873092027,6,0,1.20956653182,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DOUBLE', 'TIMES', 'x', 'y')",TIMES,2,"(4, 8)",8,8,2,2,0,double,0,UBxy,,,,,0,10,10,3,,,,,,space,2.68830187572,8,1,3.32178057218,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('INCREASE', 'DIVIDE', 'TRIPLE', 'HALF', 'x', 'y')",DIVIDE,4,"(2, 6, 2, 3)",3,3,3,4,triple,increase,half,UBUUxy,,,,,0,11,11,12,,,,,,space,0.709317532717,3,1,0.59759344114,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('TIMES', 'INCREASE', 'HALF', 'TRIPLE', 'x', 'y')",increase,4,"(6, 3, 4, 8)",8,8,2,2,half,TIMES,triple,BUUUxy,,,,,0,12,12,11,,,,,,space,0.609914605389,4,0,0.246426785365,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('THIRD', 'INCREASE', 'SUBTRACT', 'x', 'y')",increase,3,"(2, 3, 1)",1,1,6,8,SUBTRACT,third,0,UUBxy,,,,,0,13,13,9,,,,,,space,4.37460056052,1,1,2.04818297212,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('SUBTRACT', 'INCREASE', 'x', 'y')",increase,2,"(6, 2)",2,2,4,5,0,SUBTRACT,0,BUxy,,,,,0,14,14,1,,,,,,space,2.35533647065,6,0,10.728404541,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('TRIPLE', 'DECREASE', 'HALF', 'SUBTRACT', 'x', 'y')",decrease,4,"(4, 2, 1, 3)",3,3,5,9,half,triple,SUBTRACT,UUUBxy,,,,,0,15,15,17,,,,,,space,0.838575494708,3,1,0.947643013555,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('TIMES', 'THIRD', 'DOUBLE', 'x', 'y')",third,3,"(6, 2, 4)",4,4,2,3,double,TIMES,0,BUUxy,,,,,0,16,16,5,,,,,,space,8.6764962076,4,1,7.08086676162,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DECREASE', 'TRIPLE', 'DIVIDE', 'x', 'y')",triple,3,"(2, 6, 5)",5,5,4,8,DIVIDE,decrease,0,UUBxy,,,,,0,17,17,8,,,,,,space,7.89220634825,5,1,3.73342056759,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DIVIDE', 'INCREASE', 'DOUBLE', 'THIRD', 'x', 'y')",increase,4,"(2, 4, 5, 1)",1,1,5,6,double,DIVIDE,third,BUUUxy,,,,,0,0,0,11,,,,,,space,4.0294137306,2,0,0.101136296405,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DOUBLE', 'SUBTRACT', 'x', 'y')",SUBTRACT,2,"(1, 2)",2,2,7,8,0,double,0,UBxy,,,,,0,1,1,2,,,,,,space,2.26112280181,2,1,1.31481664896,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('ADD', 'THIRD', 'INCREASE', 'HALF', 'x', 'y')",third,4,"(2, 3, 1, 7)",7,7,6,4,increase,ADD,half,BUUUxy,,,,,0,2,2,10,,,,,,space,0.901499628555,6,0,0.632371412008,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DOUBLE', 'TRIPLE', 'DIVIDE', 'DECREASE', 'x', 'y')",triple,4,"(8, 1, 3, 6)",6,6,8,9,DIVIDE,double,decrease,UUBUxy,,,,,0,3,3,15,,,,,,space,0.70633479394,4,0,0.197895599646,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DOUBLE', 'DECREASE', 'TRIPLE', 'DIVIDE', 'x', 'y')",decrease,4,"(1, 3, 2, 4)",4,4,4,4,triple,double,DIVIDE,UUUBxy,,,,,0,4,4,17,,,,,,space,0.693354998482,2,0,0.611611928209,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'x', 'y')",double,2,"(12, 2)",2,2,6,6,0,DIVIDE,0,BUxy,,,,,0,5,5,1,,,,,,space,2.17850657285,2,1,5.5445788732,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DOUBLE', 'TRIPLE', 'SUBTRACT', 'x', 'y')",triple,3,"(1, 3, 6)",6,6,3,4,SUBTRACT,double,0,UUBxy,,,,,0,6,6,9,,,,,,space,6.37319650699,1,0,4.50178743841,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'THIRD', 'x', 'y')",double,3,"(2, 4, 1)",1,1,4,6,third,DIVIDE,0,BUUxy,,,,,0,7,7,4,,,,,,space,8.08285280422,1,1,5.09810281289,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('SUBTRACT', 'HALF', 'TRIPLE', 'x', 'y')",half,3,"(12, 6, 2)",2,2,4,4,triple,SUBTRACT,0,BUUxy,,,,,0,8,8,5,,,,,,space,3.60362821131,2,1,4.64646969084,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DECREASE', 'THIRD', 'TIMES', 'HALF', 'x', 'y')",third,4,"(2, 12, 4, 3)",3,3,6,4,TIMES,decrease,half,UUBUxy,,,,,0,9,9,14,,,,,,space,1.26518447802,5,0,0.184871358564,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DECREASE', 'HALF', 'TRIPLE', 'DIVIDE', 'x', 'y')",half,4,"(4, 12, 6, 5)",5,5,2,8,triple,decrease,DIVIDE,UUUBxy,,,,,0,10,10,16,,,,,,space,0.561988506583,4,0,0.038710510591,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('HALF', 'SUBTRACT', 'TRIPLE', 'x', 'y')",SUBTRACT,3,"(9, 2, 1)",1,1,7,3,triple,half,0,UBUxy,,,,,0,11,11,6,,,,,,space,9.87813046714,1,1,3.50977885455,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('INCREASE', 'DIVIDE', 'THIRD', 'x', 'y')",DIVIDE,3,"(3, 1, 2)",2,2,3,9,third,increase,0,UBUxy,,,,,0,12,12,7,,,,,,space,4.77845176856,2,1,2.48204109899,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('HALF', 'TIMES', 'x', 'y')",TIMES,2,"(16, 8)",8,8,4,4,0,half,0,UBxy,,,,,0,13,13,3,,,,,,space,3.45033685735,8,1,2.86895127501,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DECREASE', 'TIMES', 'DOUBLE', 'THIRD', 'x', 'y')",TIMES,4,"(1, 2, 8, 7)",7,7,4,3,double,decrease,third,UBUUxy,,,,,0,14,14,13,,,,,,space,0.835920321755,7,1,0.707760895253,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DOUBLE', 'DECREASE', 'SUBTRACT', 'x', 'y')",decrease,3,"(5, 4, 8)",8,8,2,7,SUBTRACT,double,0,UUBxy,,,,,0,15,15,8,,,,,,space,0.501775189769,5,0,0.53245788801,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DECREASE', 'ADD', 'DOUBLE', 'THIRD', 'x', 'y')",ADD,4,"(3, 6, 10, 9)",9,9,4,9,double,decrease ,third,UBUUxy,,,,,0,16,16,12,,,,,,space,0.547887078021,4,0,0.344142188667,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('ADD', 'DOUBLE', 'x', 'y')",double,2,"(4, 8)",8,8,4,2,0,ADD,0,BUxy,,,,,0,17,17,0,,,,,,space,3.98745590891,8,1,1.56007525616,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('HALF', 'TRIPLE', 'INCREASE', 'SUBTRACT', 'x', 'y')",triple,4,"(1, 2, 6, 3)",3,3,2,3,increase,half,SUBTRACT,UUUBxy,,,,,0,0,0,17,,,,,,space,1.03670976928,3,1,2.02171663381,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('SUBTRACT', 'TRIPLE', 'DECREASE', 'x', 'y')",triple,3,"(4, 12, 3)",3,3,9,5,decrease,SUBTRACT,0,BUUxy,,,,,0,1,1,4,,,,,,space,4.14477289293,3,1,3.46162807907,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('THIRD', 'DIVIDE', 'x', 'y')",DIVIDE,2,"(3, 1)",1,1,2,6,0,third,0,UBxy,,,,,0,2,2,3,,,,,,space,2.9002149126,1,1,2.07299153332,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('TIMES', 'DOUBLE', 'x', 'y')",double,2,"(4, 8)",8,8,2,2,0,TIMES,0,BUxy,,,,,0,3,3,1,,,,,,space,3.33136117249,8,1,1.74776452081,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DOUBLE', 'DIVIDE', 'TRIPLE', 'INCREASE', 'x', 'y')",DIVIDE,4,"(5, 15, 3, 6)",6,6,5,4,triple,double,increase,UBUUxy,,,,,0,4,4,12,,,,,,space,0.996231243247,5,0,0.743075010134,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DECREASE', 'TRIPLE', 'HALF', 'SUBTRACT', 'x', 'y')",triple,4,"(4, 2, 6, 5)",5,5,2,6,half,decrease,SUBTRACT,UUUBxy,,,,,0,5,5,16,,,,,,space,0.678793717874,7,0,0.340702747693,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DECREASE', 'TRIPLE', 'DIVIDE', 'DOUBLE', 'x', 'y')",triple,4,"(6, 2, 6, 5)",5,5,3,3,DIVIDE,decrease,double,UUBUxy,,,,,0,6,6,14,,,,,,space,0.646076681907,3,0,0.484255317948,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('TIMES', 'HALF', 'INCREASE', 'x', 'y')",half,3,"(6, 3, 9)",9,9,3,5,increase,TIMES,0,BUUxy,,,,,0,7,7,5,,,,,,space,4.99973297783,9,1,3.83235209412,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DOUBLE', 'THIRD', 'TIMES', 'x', 'y')",third,3,"(12, 4, 8)",8,8,6,2,TIMES,double,0,UUBxy,,,,,0,8,8,9,,,,,,space,6.84934107121,8,1,4.35962947272,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('THIRD', 'DECREASE', 'TIMES', 'HALF', 'x', 'y')",decrease,4,"(4, 16, 15, 5)",5,5,4,8,TIMES,third,half,UUBUxy,,,,,0,9,9,15,,,,,,space,0.708192750113,3,0,0.0555679014651,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('THIRD', 'TIMES', 'HALF', 'x', 'y')",TIMES,3,"(3, 18, 6)",6,6,6,6,half,third,0,UBUxy,,,,,0,10,10,7,,,,,,space,4.2922587028,6,1,4.55265428044,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DIVIDE', 'THIRD', 'x', 'y')",third,2,"(3, 1)",1,1,3,9,0,DIVIDE,0,BUxy,,,,,0,11,11,0,,,,,,space,3.01091781072,1,1,1.87839888909,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('SUBTRACT', 'DOUBLE', 'TRIPLE', 'DECREASE', 'x', 'y')",double,4,"(2, 6, 12, 8)",8,8,4,3,triple,SUBTRACT,decrease,BUUUxy,,,,,0,12,12,10,,,,,,space,0.970347244176,3,0,0.113624743302,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('INCREASE', 'ADD', 'HALF', 'TRIPLE', 'x', 'y')",ADD,4,"(6, 3, 6, 7)",7,7,3,2,half,increase,triple,UBUUxy,,,,,0,13,13,13,,,,,,space,0.645995140425,8,0,0.324735313887,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('INCREASE', 'SUBTRACT', 'x', 'y')",SUBTRACT,2,"(3, 4)",4,4,3,6,0,increase,0,UBxy,,,,,0,14,14,2,,,,,,space,9.57466523373,4,1,3.18959026632,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('THIRD', 'DIVIDE', 'DECREASE', 'x', 'y')",DIVIDE,3,"(6, 3, 1)",1,1,2,7,decrease,third,0,UBUxy,,,,,0,15,15,6,,,,,,space,8.35707753897,1,1,4.61195874203,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('DOUBLE', 'DECREASE', 'ADD', 'x', 'y')",decrease,3,"(4, 3, 6)",6,6,2,2,ADD,double,0,UUBxy,,,,,0,16,16,8,,,,,,space,3.68398892577,6,1,2.99805945251,2017_Apr_21_0921,None,KRITL,001,31042,
,,,,,,,,"('SUBTRACT', 'TRIPLE', 'DECREASE', 'DOUBLE', 'x', 'y')",triple,4,"(4, 3, 9, 1)",1,1,8,2,decrease,SUBTRACT,double,BUUUxy,,,,,0,17,17,11,,,,,,space,0.598592236987,6,0,0.262467361521,2017_Apr_21_0921,None,KRITL,001,31042,
