operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_execution.keys,practice_execution.corr,practice_encoding.rt,practice_execution.rt,encoding.keys,execution.keys,execution.corr,encoding.rt,execution.rt,date,frameRate,expName,session,participant,
,,,,,,,,"('ADD', 'TRIPLE', 'HALF', 'x', 'y')",triple,3,"(2, 6, 8)",8,8,2,4,half,ADD,0,BUUxy,,,,,0,17,17,5,,,,,,space,8,1,3.34756116546,4.3913603418,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DOUBLE', 'THIRD', 'TIMES', 'x', 'y')",third,3,"(12, 4, 8)",8,8,6,2,TIMES,double,0,UUBxy,,,,,0,0,0,9,,,,,,space,8,1,5.30673841829,3.54105144762,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('TIMES', 'HALF', 'INCREASE', 'x', 'y')",half,3,"(6, 3, 9)",9,9,3,5,increase,TIMES,0,BUUxy,,,,,0,1,1,5,,,,,,space,9,1,6.38908418734,2.38809099444,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('SUBTRACT', 'DOUBLE', 'TRIPLE', 'DECREASE', 'x', 'y')",double,4,"(2, 6, 12, 8)",8,8,4,3,triple,SUBTRACT,decrease,BUUUxy,,,,,0,2,2,10,,,,,,space,8,1,6.3686862872,3.47670073784,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('HALF', 'TRIPLE', 'INCREASE', 'SUBTRACT', 'x', 'y')",triple,4,"(1, 2, 6, 3)",3,3,2,3,increase,half,SUBTRACT,UUUBxy,,,,,0,3,3,17,,,,,,space,3,1,8.78775419085,4.51798998495,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('THIRD', 'DIVIDE', 'x', 'y')",DIVIDE,2,"(3, 1)",1,1,2,6,0,third,0,UBxy,,,,,0,4,4,3,,,,,,space,1,1,1.79365210468,1.2971638008,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('INCREASE', 'ADD', 'HALF', 'TRIPLE', 'x', 'y')",ADD,4,"(6, 3, 6, 7)",7,7,3,2,half,increase,triple,UBUUxy,,,,,0,5,5,13,,,,,,space,7,1,6.51985003427,9.92608727165,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('THIRD', 'TIMES', 'HALF', 'x', 'y')",TIMES,3,"(3, 18, 6)",6,6,6,6,half,third,0,UBUxy,,,,,0,6,6,7,,,,,,space,6,1,3.86104363645,12.8733871551,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DIVIDE', 'THIRD', 'x', 'y')",third,2,"(3, 1)",1,1,3,9,0,DIVIDE,0,BUxy,,,,,0,7,7,0,,,,,,space,1,1,2.12696735677,2.26280065696,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DOUBLE', 'DECREASE', 'ADD', 'x', 'y')",decrease,3,"(4, 3, 6)",6,6,2,2,ADD,double,0,UUBxy,,,,,0,8,8,8,,,,,,space,6,1,4.99287091894,3.00281789619,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('TIMES', 'DOUBLE', 'x', 'y')",double,2,"(4, 8)",8,8,2,2,0,TIMES,0,BUxy,,,,,0,9,9,1,,,,,,space,8,1,2.75367731601,4.13048832701,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DECREASE', 'TRIPLE', 'HALF', 'SUBTRACT', 'x', 'y')",triple,4,"(4, 2, 6, 5)",5,5,2,6,half,decrease,SUBTRACT,UUUBxy,,,,,0,10,10,16,,,,,,space,5,1,12.2745996346,6.24746006145,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('INCREASE', 'SUBTRACT', 'x', 'y')",SUBTRACT,2,"(3, 4)",4,4,3,6,0,increase,0,UBxy,,,,,0,11,11,2,,,,,,space,4,1,1.74195882957,1.49319865834,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('THIRD', 'DIVIDE', 'DECREASE', 'x', 'y')",DIVIDE,3,"(6, 3, 1)",1,1,2,7,decrease,third,0,UBUxy,,,,,0,12,12,6,,,,,,space,1,1,3.70137720648,1.92420762405,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('SUBTRACT', 'TRIPLE', 'DECREASE', 'x', 'y')",triple,3,"(4, 12, 3)",3,3,9,5,decrease,SUBTRACT,0,BUUxy,,,,,0,13,13,4,,,,,,space,3,1,5.43363998178,2.78591548908,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DOUBLE', 'DIVIDE', 'TRIPLE', 'INCREASE', 'x', 'y')",DIVIDE,4,"(5, 15, 3, 6)",6,6,5,4,triple,double,increase,UBUUxy,,,,,0,14,14,12,,,,,,space,6,1,13.2855727009,17.1073022776,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('SUBTRACT', 'TRIPLE', 'DECREASE', 'DOUBLE', 'x', 'y')",triple,4,"(4, 3, 9, 1)",1,1,8,2,decrease,SUBTRACT,double,BUUUxy,,,,,0,15,15,11,,,,,,space,1,1,8.37151993159,16.3017801528,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DECREASE', 'TRIPLE', 'DIVIDE', 'DOUBLE', 'x', 'y')",triple,4,"(6, 2, 6, 5)",5,5,3,3,DIVIDE,decrease,double,UUBUxy,,,,,0,16,16,14,,,,,,space,5,1,17.4767189359,9.09511624184,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('THIRD', 'DECREASE', 'TIMES', 'HALF', 'x', 'y')",decrease,4,"(4, 16, 15, 5)",5,5,4,8,TIMES,third,half,UUBUxy,,,,,0,17,17,15,,,,,,space,5,1,15.9945640364,9.0913562472,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DOUBLE', 'SUBTRACT', 'x', 'y')",SUBTRACT,2,"(1, 2)",2,2,7,8,0,double,0,UBxy,,,,,0,0,0,2,,,,,,space,2,1,5.05496577197,1.74634805648,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DECREASE', 'ADD', 'DOUBLE', 'THIRD', 'x', 'y')",ADD,4,"(3, 6, 10, 9)",9,9,4,9,double,decrease ,third,UBUUxy,,,,,0,1,1,12,,,,,,space,9,1,18.9005757228,5.33584407927,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('ADD', 'THIRD', 'INCREASE', 'HALF', 'x', 'y')",third,4,"(2, 3, 1, 7)",7,7,6,4,increase,ADD,half,BUUUxy,,,,,0,2,2,10,,,,,,space,7,1,6.01836811914,7.26754929475,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DOUBLE', 'DECREASE', 'TRIPLE', 'DIVIDE', 'x', 'y')",decrease,4,"(1, 3, 2, 4)",4,4,4,4,triple,double,DIVIDE,UUUBxy,,,,,0,3,3,17,,,,,,space,4,1,11.3299514148,4.26528433897,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('ADD', 'DOUBLE', 'x', 'y')",double,2,"(4, 8)",8,8,4,2,0,ADD,0,BUxy,,,,,0,4,4,0,,,,,,space,8,1,1.68024963513,1.58758347901,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DECREASE', 'TIMES', 'DOUBLE', 'THIRD', 'x', 'y')",TIMES,4,"(1, 2, 8, 7)",7,7,4,3,double,decrease,third,UBUUxy,,,,,0,5,5,13,,,,,,space,7,1,15.0171964453,4.01683388441,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('SUBTRACT', 'HALF', 'TRIPLE', 'x', 'y')",half,3,"(12, 6, 2)",2,2,4,4,triple,SUBTRACT,0,BUUxy,,,,,0,6,6,5,,,,,,space,2,1,4.3565027013,4.49976954982,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('HALF', 'TIMES', 'x', 'y')",TIMES,2,"(16, 8)",8,8,4,4,0,half,0,UBxy,,,,,0,7,7,3,,,,,,space,8,1,1.31440329156,3.8887057032,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('INCREASE', 'DIVIDE', 'THIRD', 'x', 'y')",DIVIDE,3,"(3, 1, 2)",2,2,3,9,third,increase,0,UBUxy,,,,,0,8,8,7,,,,,,space,2,1,9.39826404722,2.35478858603,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DOUBLE', 'TRIPLE', 'DIVIDE', 'DECREASE', 'x', 'y')",triple,4,"(8, 1, 3, 6)",6,6,8,9,DIVIDE,double,decrease,UUBUxy,,,,,0,9,9,15,,,,,,space,6,1,5.81126290536,1.97654272988,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('HALF', 'SUBTRACT', 'TRIPLE', 'x', 'y')",SUBTRACT,3,"(9, 2, 1)",1,1,7,3,triple,half,0,UBUxy,,,,,0,10,10,6,,,,,,space,1,1,3.62162430771,4.14507160382,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'x', 'y')",double,2,"(12, 2)",2,2,6,6,0,DIVIDE,0,BUxy,,,,,0,11,11,1,,,,,,space,2,1,2.51534636994,1.554280021,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DIVIDE', 'INCREASE', 'DOUBLE', 'THIRD', 'x', 'y')",increase,4,"(2, 4, 5, 1)",1,1,5,6,double,DIVIDE,third,BUUUxy,,,,,0,12,12,11,,,,,,space,1,1,8.51680151303,4.92955434741,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DECREASE', 'HALF', 'TRIPLE', 'DIVIDE', 'x', 'y')",half,4,"(4, 12, 6, 5)",5,5,2,8,triple,decrease,DIVIDE,UUUBxy,,,,,0,13,13,16,,,,,,space,5,1,12.3257641164,4.53331833147,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'THIRD', 'x', 'y')",double,3,"(2, 4, 1)",1,1,4,6,third,DIVIDE,0,BUUxy,,,,,0,14,14,4,,,,,,space,1,1,3.68086451897,2.17170058214,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DECREASE', 'THIRD', 'TIMES', 'HALF', 'x', 'y')",third,4,"(2, 12, 4, 3)",3,3,6,4,TIMES,decrease,half,UUBUxy,,,,,0,15,15,14,,,,,,space,3,1,6.25663117226,5.13754601567,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DOUBLE', 'TRIPLE', 'SUBTRACT', 'x', 'y')",triple,3,"(1, 3, 6)",6,6,3,4,SUBTRACT,double,0,UUBxy,,,,,0,16,16,9,,,,,,space,6,1,3.68977630767,1.61831681454,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DOUBLE', 'DECREASE', 'SUBTRACT', 'x', 'y')",decrease,3,"(5, 4, 8)",8,8,2,7,SUBTRACT,double,0,UUBxy,,,,,0,17,17,8,,,,,,space,8,1,5.23773775995,2.607612869,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('INCREASE', 'DIVIDE', 'x', 'y')",DIVIDE,2,"(4, 5)",5,5,2,8,0,increase,0,UBxy,,,,,0,0,0,3,,,,,,space,5,1,11.1853326617,1.29808105179,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('ADD', 'HALF', 'x', 'y')",half,2,"(2, 7)",7,7,5,4,0,ADD,0,BUxy,,,,,0,1,1,0,,,,,,space,7,1,2.27157106111,2.96580973733,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('TIMES', 'HALF', 'INCREASE', 'THIRD', 'x', 'y')",half,4,"(1, 2, 1, 9)",9,9,9,3,increase,TIMES,third,BUUUxy,,,,,0,2,2,11,,,,,,space,9,1,14.2612804209,4.44473833498,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DIVIDE', 'TRIPLE', 'DECREASE', 'x', 'y')",triple,3,"(6, 18, 9)",9,9,2,7,decrease,DIVIDE,0,BUUxy,,,,,0,3,3,4,,,,,,space,9,1,3.82716519013,4.32194777788,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('TRIPLE', 'INCREASE', 'SUBTRACT', 'x', 'y')",increase,3,"(1, 2, 6)",6,6,2,3,SUBTRACT,triple,0,UUBxy,,,,,0,4,4,9,,,,,,space,6,1,2.56197639089,2.45364767406,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('INCREASE', 'TIMES', 'TRIPLE', 'HALF', 'x', 'y')",TIMES,4,"(1, 3, 6, 7)",7,7,2,2,triple,increase,half,UBUUxy,,,,,0,5,5,13,,,,,,space,7,1,8.88327428908,9.15406038472,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('INCREASE', 'DIVIDE', 'TRIPLE', 'x', 'y')",DIVIDE,3,"(6, 2, 3)",3,3,3,2,triple,increase,0,UBUxy,,,,,0,6,6,7,,,,,,space,3,1,5.38086287398,2.38980580959,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('HALF', 'SUBTRACT', 'DECREASE', 'TRIPLE', 'x', 'y')",SUBTRACT,4,"(15, 14, 10, 5)",5,5,4,5,decrease,half,triple,UBUUxy,,,,,0,7,7,12,,,,,,space,5,1,18.1652504278,6.88656148431,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('TRIPLE', 'HALF', 'ADD', 'x', 'y')",half,3,"(6, 3, 9)",9,9,3,3,ADD,triple,0,UUBxy,,,,,0,8,8,8,,,,,,space,9,1,2.78787597758,2.9437873126,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DECREASE', 'THIRD', 'DOUBLE', 'ADD', 'x', 'y')",third,4,"(9, 18, 6, 5)",5,5,4,5,double,decrease,ADD,UUUBxy,,,,,0,9,9,16,,,,,,space,5,1,5.2872364216,5.04547794512,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('SUBTRACT', 'INCREASE', 'HALF', 'x', 'y')",increase,3,"(4, 5, 3)",3,3,2,8,half,SUBTRACT,0,BUUxy,,,,,0,10,10,5,,,,,,space,3,1,10.3088042454,9.51029256498,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('HALF', 'TIMES', 'DECREASE', 'x', 'y')",TIMES,3,"(8, 16, 8)",8,8,2,9,decrease,half,0,UBUxy,,,,,0,11,11,6,,,,,,space,8,1,6.9163191251,3.0176818429,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DOUBLE', 'DIVIDE', 'x', 'y')",DIVIDE,2,"(1, 2)",2,2,8,8,0,double,0,UBxy,,,,,0,12,12,2,,,,,,space,2,1,2.75222252286,1.23740564589,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('SUBTRACT', 'TRIPLE', 'x', 'y')",triple,2,"(12, 9)",9,9,3,4,0,SUBTRACT,0,BUxy,,,,,0,13,13,1,,,,,,space,9,1,1.96869482612,4.39165465999,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('THIRD', 'INCREASE', 'HALF', 'TIMES', 'x', 'y')",increase,4,"(28, 14, 15, 5)",5,5,4,7,half,third,TIMES,UUUBxy,,,,,0,14,14,17,,,,,,space,5,1,7.68559670844,6.3710446828,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'INCREASE', 'TRIPLE', 'x', 'y')",double,4,"(9, 10, 20, 5)",5,5,4,3,increase,DIVIDE,triple,BUUUxy,,,,,0,15,15,10,,,,,,space,5,1,9.46144413319,4.03141261218,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('TRIPLE', 'DOUBLE', 'SUBTRACT', 'INCREASE', 'x', 'y')",double,4,"(5, 1, 2, 6)",6,6,4,4,SUBTRACT,triple,increase,UUBUxy,,,,,0,16,16,14,,,,,,space,6,1,6.09448315995,2.46535846102,2017_Apr_28_0915,None,KRITL,001,31047,
,,,,,,,,"('TRIPLE', 'INCREASE', 'DIVIDE', 'DOUBLE', 'x', 'y')",increase,4,"(16, 2, 3, 9)",9,9,8,8,DIVIDE,triple,double,UUBUxy,,,,,0,17,17,15,,,,,,space,9,1,10.3232853336,5.53160246671,2017_Apr_28_0915,None,KRITL,001,31047,
