operationc	operationb	operationa	correctresponse	valuey	operationd	condition	valuex	Rule	Operatora	Length	Intermediate	CorrectResponse	Result	Y	X	Operatorc	Operatorb	Operatord	Structure	practice_trials.thisRepN	practice_trials.thisTrialN	practice_trials.thisN	practice_trials.thisIndex	block.thisRepN	block.thisTrialN	block.thisN	block.thisIndex	practice_encoding.keys	practice_encoding.rt	practice_execution.keys	practice_execution.corr	practice_execution.rt	encoding.keys	encoding.rt	execution.keys	execution.corr	execution.rt	date	frameRate	expName	session	participant	X.1	LogEncoding	EncodingSpeed	LogExecution	ExecutionSpeed	Chunks	Offset
860				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')	decrease	Length = 4	(12, 4, 3, 1)	1	1	3	6	third	DIVIDE	double	BUUUxy	NA	NA	NA	NA	0	12	12	10				NA	NA	space	5.55946526979	1	1	5.84505716828	2015_Jul_09_1334	None	KRITL	1	31014	NA	1.71550192913923	0.179873414343278	1.76559637559134	0.171084725300346	Chunks = 2	4th
863				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')	decrease	Length = 4	(12, 4, 3, 1)	1	1	3	6	third	DIVIDE	double	BUUUxy	NA	NA	NA	NA	0	15	15	10			NA	NA	NA	space	2.73526172544	1	1	7.68117346955	2015_Jul_22_1134	281.773905697	KRITL	1	31028	NA	1.00622712615472	0.365595727348226	2.03877233100186	0.130188441123513	Chunks = 2	4th
864				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')	decrease	Length = 4	(12, 4, 3, 1)	1	1	3	6	third	DIVIDE	double	BUUUxy	NA	NA	NA	NA	0	15	15	10			NA	NA	NA	space	3.81644448842	1	1	4.64973909722	2015_Jul_08_1336	60.0051538288	KRITL	1	31008	NA	1.33931922699667	0.26202398673274	1.53681110990041	0.215065830381297	Chunks = 2	4th
865				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')	decrease	Length = 4	(12, 4, 3, 1)	1	1	3	6	third	DIVIDE	double	BUUUxy	NA	NA	NA	NA	0	16	16	10				NA	NA	space	2.91798617085	1	1	8.00428692705	2015_Jul_09_1535	360.822427182	KRITL	1	31017	NA	1.07089371083302	0.34270210393379	2.07997726403624	0.12493305263965	Chunks = 2	4th
866				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')	decrease	Length = 4	(12, 4, 3, 1)	1	1	3	6	third	DIVIDE	double	BUUUxy	NA	NA	NA	NA	0	16	16	10			NA	NA	NA	space	3.79462603077	1	1	4.88483716724	2015_Jul_10_1353	None	KRITL	1	31018	NA	1.33358586337535	0.263530580323638	1.58613595172321	0.204715114498896	Chunks = 2	4th
870				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')	decrease	Length = 3	(9, 8, 4)	4	4	2	3	triple	DIVIDE	0	BUUxy	NA	NA	NA	NA	0	1	1	5				NA	NA	space	3.22952834537	4	1	3.84957782303	2015_Jul_08_1553	None	KRITL	1	31011	NA	1.17233610346689	0.30964273821397	1.34796348593115	0.259768745034202	Chunks = 2	3rd
871				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')	decrease	Length = 3	(9, 8, 4)	4	4	2	3	triple	DIVIDE	0	BUUxy	NA	NA	NA	NA	0	1	1	5			NA	NA	NA	space	10.4999413148	4	1	3.78369975361	2015_Jul_08_1336	357.524927026	KRITL	1	31010	NA	2.35136966808119	0.0952386275331338	1.33070230174398	0.264291583666465	Chunks = 2	3rd
873				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')	decrease	Length = 3	(9, 8, 4)	4	4	2	3	triple	DIVIDE	0	BUUxy	NA	NA	NA	NA	0	2	2	5			NA	NA	NA	space	4.69038275856	4	1	7.37581388382	2015_Jul_08_1337	None	KRITL	1	31009	NA	1.5455141907614	0.213202216423593	1.99820625326512	0.135578258311758	Chunks = 2	3rd
874				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')	decrease	Length = 3	(9, 8, 4)	4	4	2	3	triple	DIVIDE	0	BUUxy	NA	NA	NA	NA	0	3	3	5				NA	NA	space	3.31665599865	4	1	2.7063848164	2015_Jul_07_1543	None	KRITL	1	31007	NA	1.19895704600978	0.301508507486769	0.995613728211456	0.369496604451908	Chunks = 2	3rd
875				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')	decrease	Length = 3	(9, 8, 4)	4	4	2	3	triple	DIVIDE	0	BUUxy	NA	NA	NA	NA	0	3	3	5				NA	NA	space	6.83715506937	4	1	4.00652006612	2015_Jul_16_1335	360.287380426	KRITL	1	31025	NA	1.92237171958274	0.146259663537534	1.38792305061481	0.249593159025014	Chunks = 2	3rd
876				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')	decrease	Length = 3	(9, 8, 4)	4	4	2	3	triple	DIVIDE	0	BUUxy	NA	NA	NA	NA	0	3	3	5			NA	NA	NA	space	2.38012753369	4	1	2.49875605479	2015_Jul_14_1533	283.057880698	KRITL	1	31021	NA	0.867154071831761	0.420145553482028	0.915793029957101	0.400199130316481	Chunks = 2	3rd
877				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')	decrease	Length = 3	(9, 8, 4)	4	4	2	3	triple	DIVIDE	0	BUUxy	NA	NA	NA	NA	0	3	3	5			NA	NA	NA	space	6.16556632315	4	1	3.83644246723	2015_Jul_17_1555	None	KRITL	1	31020	NA	1.81897999341113	0.162191102582949	1.34454549636258	0.260658151019276	Chunks = 2	3rd
878				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')	decrease	Length = 3	(9, 8, 4)	4	4	2	3	triple	DIVIDE	0	BUUxy	NA	NA	NA	NA	0	5	5	5			NA	NA	NA	space	2.19647334801	4	1	3.33995277595	2015_Jul_09_1535	None	KRITL	1	31016	NA	0.786853050515329	0.455275271564755	1.20595666795153	0.299405430879353	Chunks = 2	3rd
879				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')	decrease	Length = 3	(9, 8, 4)	4	4	2	3	triple	DIVIDE	0	BUUxy	NA	NA	NA	NA	0	5	5	5			NA	NA	NA	space	3.39976587359	4	1	2.66658716451	2015_Jul_08_1336	60.0051538288	KRITL	1	31008	NA	1.22370656854228	0.29413790160322	0.980799439258551	0.375011180324104	Chunks = 2	3rd
880				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')	decrease	Length = 3	(9, 8, 4)	4	4	2	3	triple	DIVIDE	0	BUUxy	NA	NA	NA	NA	0	6	6	5			NA	NA	NA	space	1.68690972097	4	1	4.5428930991	2015_Jul_21_1534	None	KRITL	1	31027	NA	0.522898287591272	0.59279995104005	1.51356405559572	0.220124043904558	Chunks = 2	3rd
881				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')	decrease	Length = 3	(9, 8, 4)	4	4	2	3	triple	DIVIDE	0	BUUxy	NA	NA	NA	NA	0	6	6	5			NA	NA	NA	space	1.81663132414	4	1	2.11662143486	2015_Jul_07_1404	60.0082342211	KRITL	1	31004	NA	0.596983865215965	0.550469424759811	0.749821154650682	0.472451040857074	Chunks = 2	3rd
883				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')	decrease	Length = 3	(9, 8, 4)	4	4	2	3	triple	DIVIDE	0	BUUxy	NA	NA	NA	NA	0	8	8	5				NA	NA	space	2.37530595856	4	1	5.07698846108	2015_Jul_09_1535	360.822427182	KRITL	1	31017	NA	0.865126253846263	0.420998396604974	1.62471826317953	0.196967160289207	Chunks = 2	3rd
886				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')	decrease	Length = 3	(9, 8, 4)	4	4	2	3	triple	DIVIDE	0	BUUxy	NA	NA	NA	NA	0	8	8	5			NA	NA	NA	space	5.35290247463	4	1	8.36582207647	2015_Jul_15_1558	None	KRITL	1	31023	NA	1.67763893242032	0.186814537484941	2.12415460533868	0.119533978951409	Chunks = 2	3rd
887				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')	decrease	Length = 3	(9, 8, 4)	4	4	2	3	triple	DIVIDE	0	BUUxy	NA	NA	NA	NA	0	9	9	5				NA	NA	space	4.51616148854	4	1	3.78869414979	2015_Jul_16_1551	None	KRITL	1	31026	NA	1.50766240484648	0.221426980088634	1.33202140821623	0.26394318476603	Chunks = 2	3rd
888				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')	decrease	Length = 3	(9, 8, 4)	4	4	2	3	triple	DIVIDE	0	BUUxy	NA	NA	NA	NA	0	13	13	5			NA	NA	NA	space	1.47131366841	4	1	3.54322556441	2015_Jul_13_1550	287.784491609	KRITL	1	31019	NA	0.386155653701041	0.679664725116478	1.26503748866348	0.282228715564857	Chunks = 2	3rd
889				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')	decrease	Length = 3	(9, 8, 4)	4	4	2	3	triple	DIVIDE	0	BUUxy	NA	NA	NA	NA	0	13	13	5			NA	NA	NA	space	9.54640113303	4	1	3.33478416527	2015_Jul_08_1558	None	KRITL	1	31013	NA	2.25616423875993	0.104751516939725	1.20440795921331	0.299869481933634	Chunks = 2	3rd
890				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')	decrease	Length = 3	(9, 8, 4)	4	4	2	3	triple	DIVIDE	0	BUUxy	NA	NA	NA	NA	0	16	16	5				NA	NA	space	6.60431973924	4	1	3.30549082201	2015_Jul_09_1334	None	KRITL	1	31014	NA	1.88772394088223	0.151416048810967	1.19558497120619	0.302526932866182	Chunks = 2	3rd
891				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')	decrease	Length = 3	(9, 8, 4)	4	4	2	3	triple	DIVIDE	0	BUUxy	NA	NA	NA	NA	0	16	16	5			NA	NA	NA	space	2.1812482527	4	1	6.21271138215	2015_Jul_07_1404	360.230878236	KRITL	1	31002	NA	0.779897305913838	0.458453089308921	1.82659741613967	0.160960318046182	Chunks = 2	3rd
892				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')	decrease	Length = 3	(9, 8, 4)	4	4	2	3	triple	DIVIDE	0	BUUxy	NA	NA	NA	NA	0	16	16	5			NA	NA	NA	space	9.06232469298	4	1	8.24626459388	2015_Jul_14_1534	340.004537469	KRITL	1	31022	NA	2.20412567577079	0.110346962162439	2.10976032131297	0.121267028072584	Chunks = 2	3rd
893				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')	decrease	Length = 3	(9, 8, 4)	4	4	2	3	triple	DIVIDE	0	BUUxy	NA	NA	NA	NA	0	17	17	5				NA	NA	space	1.73297494865	4	1	2.51083045694	2015_Jul_09_1534	None	KRITL	1	31015	NA	0.549839555147164	0.577042386434384	0.920613557760457	0.398274601630697	Chunks = 2	3rd
894				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')	decrease	Length = 3	(9, 8, 4)	4	4	2	3	triple	DIVIDE	0	BUUxy	NA	NA	NA	NA	0	17	17	5			NA	NA	NA	space	1.38775078821	4	1	3.2756252885	2015_Jul_10_1353	None	KRITL	1	31018	NA	0.327684298564913	0.720590475246537	1.18650877864908	0.305285224018382	Chunks = 2	3rd
895				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')	decrease	Length = 3	(9, 8, 4)	4	4	2	3	triple	DIVIDE	0	BUUxy	NA	NA	NA	NA	0	17	17	5			NA	NA	NA	space	1.94077952966	4	1	9.69411616898	2015_Jul_22_1134	281.773905697	KRITL	1	31028	NA	0.663089711779807	0.515256877310112	2.27151912094742	0.1031553555341	Chunks = 2	3rd
896				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'TRIPLE', 'x', 'y')	decrease	Length = 3	(9, 8, 4)	4	4	2	3	triple	DIVIDE	0	BUUxy	NA	NA	NA	NA	0	17	17	5			NA	NA	NA	space	3.15335521064	4	1	3.3943374707	2015_Jul_07_1404	None	KRITL	1	31003	NA	1.14846703220671	0.31712253558553	1.22210859342473	0.294608302395393	Chunks = 2	3rd
897				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'x', 'y')	decrease	Length = 2	(8, 2)	2	2	4	9	0	DIVIDE	0	BUxy	NA	NA	NA	NA	0	0	0	1			NA	NA	NA	space	1.85053619096	2	1	6.03961780375	2015_Jul_07_1404	360.230878236	KRITL	1	31002	NA	0.615475430048129	0.540383919474297	1.79834073241978	0.165573390981645	Chunks = 2	2nd
898				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'x', 'y')	decrease	Length = 2	(8, 2)	2	2	4	9	0	DIVIDE	0	BUxy	NA	NA	NA	NA	0	1	1	1			NA	NA	NA	space	0.949969083144	2	1	3.16653566493	2015_Jul_07_1543	60.0017041557	KRITL	1	31006	NA	-0.0513258389760673	1.05266583696642	1.15263814011319	0.315802538109769	Chunks = 2	2nd
899				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'x', 'y')	decrease	Length = 2	(8, 2)	2	2	4	9	0	DIVIDE	0	BUxy	NA	NA	NA	NA	0	2	2	1				NA	NA	space	1.25701143086	2	1	2.27082798909	2015_Jul_16_1551	None	KRITL	1	31026	NA	0.22873702332969	0.795537713858209	0.820144517890226	0.44036800885158	Chunks = 2	2nd
901				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'x', 'y')	decrease	Length = 2	(8, 2)	2	2	4	9	0	DIVIDE	0	BUxy	NA	NA	NA	NA	0	3	3	1			NA	NA	NA	space	1.99249363329	2	1	6.51064851383	2015_Jul_15_1558	None	KRITL	1	31023	NA	0.689386936339612	0.501883661404128	1.87343906935877	0.153594530233937	Chunks = 2	2nd
902				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'x', 'y')	decrease	Length = 2	(8, 2)	2	2	4	9	0	DIVIDE	0	BUxy	NA	NA	NA	NA	0	4	4	1			NA	NA	NA	space	0.871115449117	2	1	1.55920034746	2015_Jul_13_1550	287.784491609	KRITL	1	31019	NA	-0.137980763132603	1.14795346703315	0.444173092056238	0.641354397867497	Chunks = 2	2nd
903				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'x', 'y')	decrease	Length = 2	(8, 2)	2	2	4	9	0	DIVIDE	0	BUxy	NA	NA	NA	NA	0	4	4	1			NA	NA	NA	space	3.51606244891	2	1	3.03797558724	2015_Jul_17_1555	None	KRITL	1	31020	NA	1.25734174101617	0.284409055450652	1.11119136834143	0.32916656875064	Chunks = 2	2nd
904				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'x', 'y')	decrease	Length = 2	(8, 2)	2	2	4	9	0	DIVIDE	0	BUxy	NA	NA	NA	NA	0	5	5	1			NA	NA	NA	space	1.19343148841	2	1	1.42896973561	2015_Jul_07_1404	None	KRITL	1	31003	NA	0.17683276121946	0.837919905509023	0.356953720004074	0.699804883952367	Chunks = 2	2nd
905				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'x', 'y')	decrease	Length = 2	(8, 2)	2	2	4	9	0	DIVIDE	0	BUxy	NA	NA	NA	NA	0	6	6	1			NA	NA	NA	space	0.716660116508	2	1	1.83483193528	2015_Jul_22_1134	281.773905697	KRITL	1	31028	NA	-0.333153586326585	1.39536159047416	0.60695288890879	0.545009044573555	Chunks = 2	2nd
906				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'x', 'y')	decrease	Length = 2	(8, 2)	2	2	4	9	0	DIVIDE	0	BUxy	NA	NA	NA	NA	0	6	6	1			NA	NA	NA	space	0.756571799691	2	1	1.83008431847	2015_Jul_08_1336	357.524927026	KRITL	1	31010	NA	-0.278957839892592	1.32175161750467	0.604362041458545	0.546422910631805	Chunks = 2	2nd
907				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'x', 'y')	decrease	Length = 2	(8, 2)	2	2	4	9	0	DIVIDE	0	BUxy	NA	NA	NA	NA	0	7	7	1				NA	NA	space	2.50146476703	2	1	2.23059118074	2015_Jul_07_1543	None	KRITL	1	31007	NA	0.916876467109774	0.39976577450951	0.802266653809163	0.448311644300615	Chunks = 2	2nd
908				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'x', 'y')	decrease	Length = 2	(8, 2)	2	2	4	9	0	DIVIDE	0	BUxy	NA	NA	NA	NA	0	7	7	1				NA	NA	space	3.27612398646	2	1	3.46624549729	2015_Jul_16_1335	None	KRITL	1	31024	NA	1.18666101217941	0.305238752908294	1.24307201893222	0.288496588248532	Chunks = 2	2nd
909				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'x', 'y')	decrease	Length = 2	(8, 2)	2	2	4	9	0	DIVIDE	0	BUxy	NA	NA	NA	NA	0	7	7	1			NA	NA	NA	space	2.88670387247	2	1	2.29022961456	2015_Jul_09_1535	None	KRITL	1	31016	NA	1.06011532266959	0.346415858424838	0.828652080906424	0.436637441784247	Chunks = 2	2nd
910				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'x', 'y')	decrease	Length = 2	(8, 2)	2	2	4	9	0	DIVIDE	0	BUxy	NA	NA	NA	NA	0	7	7	1			NA	NA	NA	space	3.78135611549	2	1	3.11825266033	2015_Jul_10_1353	None	KRITL	1	31018	NA	1.3300827060039	0.264455388346944	1.13727280017172	0.320692422625616	Chunks = 2	2nd
911				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'x', 'y')	decrease	Length = 2	(8, 2)	2	2	4	9	0	DIVIDE	0	BUxy	NA	NA	NA	NA	0	8	8	1			NA	NA	NA	space	1.50215420021	2	1	4.94602233256	2015_Jul_08_1558	None	KRITL	1	31013	NA	0.406900211328091	0.665710617365515	1.59858368436602	0.202182669782328	Chunks = 2	2nd
912				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'x', 'y')	decrease	Length = 2	(8, 2)	2	2	4	9	0	DIVIDE	0	BUxy	NA	NA	NA	NA	0	9	9	1				NA	NA	space	2.32299521496	2	1	2.13528001004	2015_Jul_08_1553	None	KRITL	1	31011	NA	0.842857393932513	0.430478717114886	0.758597790324444	0.468322653374752	Chunks = 2	2nd
913				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'x', 'y')	decrease	Length = 2	(8, 2)	2	2	4	9	0	DIVIDE	0	BUxy	NA	NA	NA	NA	0	9	9	1			NA	NA	NA	space	2.04012526806	2	1	3.34787345763	2015_Jul_14_1534	340.004537469	KRITL	1	31022	NA	0.713011211882624	0.490165979342495	1.20832535550612	0.298697072232805	Chunks = 2	2nd
914				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'x', 'y')	decrease	Length = 2	(8, 2)	2	2	4	9	0	DIVIDE	0	BUxy	NA	NA	NA	NA	0	10	10	1			NA	NA	NA	space	3.33315106013	2	1	1.76665242016	2015_Jul_08_1336	60.0051538288	KRITL	1	31008	NA	1.20391812086982	0.300016405485384	0.569086467797074	0.566042300448344	Chunks = 2	2nd
916				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'x', 'y')	decrease	Length = 2	(8, 2)	2	2	4	9	0	DIVIDE	0	BUxy	NA	NA	NA	NA	0	14	14	1				NA	NA	space	1.15517536434	2	1	1.36605107138	2015_Jul_09_1534	None	KRITL	1	31015	NA	0.144252163046061	0.86566943069405	0.311924147989965	0.732037052604328	Chunks = 2	2nd
917				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'x', 'y')	decrease	Length = 2	(8, 2)	2	2	4	9	0	DIVIDE	0	BUxy	NA	NA	NA	NA	0	15	15	1				NA	NA	space	2.20774322199	2	1	3.18506068892	2015_Jul_07_1549	287.31282802	KRITL	1	31005	NA	0.791970827263545	0.452951226410573	1.15847134344856	0.313965760049327	Chunks = 2	2nd
918				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'x', 'y')	decrease	Length = 2	(8, 2)	2	2	4	9	0	DIVIDE	0	BUxy	NA	NA	NA	NA	0	15	15	1			NA	NA	NA	space	0.897590886394	2	1	2.19933569932	2015_Jul_14_1533	283.057880698	KRITL	1	31021	NA	-0.108040897569618	1.11409330816339	0.788155359912179	0.454682748208554	Chunks = 2	2nd
919				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'x', 'y')	decrease	Length = 2	(8, 2)	2	2	4	9	0	DIVIDE	0	BUxy	NA	NA	NA	NA	0	16	16	1				NA	NA	space	0.854717569309	2	1	1.54408230599	2015_Jul_16_1335	360.287380426	KRITL	1	31025	NA	-0.156984192909353	1.16997711982036	0.434429757170159	0.647633870371206	Chunks = 2	2nd
920				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'x', 'y')	decrease	Length = 2	(8, 2)	2	2	4	9	0	DIVIDE	0	BUxy	NA	NA	NA	NA	0	17	17	1				NA	NA	space	1.22330722329	2	1	3.3330741832	2015_Jul_09_1535	360.822427182	KRITL	1	31017	NA	0.201558029810923	0.817456139358492	1.20389505626363	0.300023325325428	Chunks = 2	2nd
922				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'x', 'y')	decrease	Length = 2	(8, 2)	2	2	4	9	0	DIVIDE	0	BUxy	NA	NA	NA	NA	0	17	17	1			NA	NA	NA	space	0.50008092793	2	1	1.78333657845	2015_Jul_07_1404	60.0082342211	KRITL	1	31004	NA	-0.692985337797192	1.99967634066616	0.578486091929739	0.560746643165452	Chunks = 2	2nd
923				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'x', 'y')	decrease	Length = 2	(8, 2)	2	2	4	9	0	DIVIDE	0	BUxy	NA	NA	NA	NA	0	17	17	1			NA	NA	NA	space	2.07644567289	2	1	3.30165032278	2015_Jul_21_1534	None	KRITL	1	31027	NA	0.730657620919546	0.481592180838615	1.19442244127732	0.302878833988088	Chunks = 2	2nd
924				NA	NA		NA	NA	('DIVIDE', 'DECREASE', 'x', 'y')	decrease	Length = 2	(8, 2)	2	2	4	9	0	DIVIDE	0	BUxy	NA	NA	NA	NA	0	17	17	1			NA	NA	NA	space	3.76589227915	2	1	1.34937029322	2015_Jul_08_1337	None	KRITL	1	31009	NA	1.32598482630755	0.265541318198754	0.299638034162278	0.741086420106153	Chunks = 2	2nd
927				NA	NA		NA	NA	('DIVIDE', 'DOUBLE', 'INCREASE', 'THIRD', 'x', 'y')	double	Length = 4	(2, 3, 6, 2)	2	2	3	6	increase	DIVIDE	third	BUUUxy	NA	NA	NA	NA	0	1	1	10			NA	NA	NA	space	2.99438973544	2	1	8.23262597548	2015_Jul_08_1337	None	KRITL	1	31009	NA	1.09674044968342	0.333957863989625	2.1081050373657	0.121467925662892	Chunks = 2	4th
928				NA	NA		NA	NA	('DIVIDE', 'DOUBLE', 'INCREASE', 'THIRD', 'x', 'y')	double	Length = 4	(2, 3, 6, 2)	2	2	3	6	increase	DIVIDE	third	BUUUxy	NA	NA	NA	NA	0	2	2	10			NA	NA	NA	space	6.94984829109	2	1	3.86245287649	2015_Jul_08_1336	357.524927026	KRITL	1	31010	NA	1.93871983071831	0.143888032963546	1.35130244188795	0.258902835057692	Chunks = 2	4th
931				NA	NA		NA	NA	('DIVIDE', 'DOUBLE', 'INCREASE', 'THIRD', 'x', 'y')	double	Length = 4	(2, 3, 6, 2)	2	2	3	6	increase	DIVIDE	third	BUUUxy	NA	NA	NA	NA	0	6	6	10			NA	NA	NA	space	2.01660271706	2	1	3.96647256509	2015_Jul_07_1404	60.0082342211	KRITL	1	31004	NA	0.70141427232309	0.495883493332736	1.37787717708152	0.252113177033234	Chunks = 2	4th
932				NA	NA		NA	NA	('DIVIDE', 'DOUBLE', 'INCREASE', 'THIRD', 'x', 'y')	double	Length = 4	(2, 3, 6, 2)	2	2	3	6	increase	DIVIDE	third	BUUUxy	NA	NA	NA	NA	0	6	6	10			NA	NA	NA	space	2.83287598938	2	1	5.98283499113	2015_Jul_14_1533	283.057880698	KRITL	1	31021	NA	1.04129244628633	0.352998155848982	1.78889453440698	0.167144840444802	Chunks = 2	4th
933				NA	NA		NA	NA	('DIVIDE', 'DOUBLE', 'INCREASE', 'THIRD', 'x', 'y')	double	Length = 4	(2, 3, 6, 2)	2	2	3	6	increase	DIVIDE	third	BUUUxy	NA	NA	NA	NA	0	9	9	10				NA	NA	space	3.37632771305	2	1	2.72788509761	2015_Jul_09_1534	None	KRITL	1	31015	NA	1.21678864342365	0.296179780219454	1.00352661944973	0.366584355358712	Chunks = 2	4th
936				NA	NA		NA	NA	('DIVIDE', 'DOUBLE', 'INCREASE', 'THIRD', 'x', 'y')	double	Length = 4	(2, 3, 6, 2)	2	2	3	6	increase	DIVIDE	third	BUUUxy	NA	NA	NA	NA	0	10	10	10				NA	NA	space	4.88587975787	2	1	6.03821202883	2015_Jul_07_1543	None	KRITL	1	31007	NA	1.5863493630096	0.204671430644448	1.79810794640676	0.165611938637697	Chunks = 2	4th
937				NA	NA		NA	NA	('DIVIDE', 'DOUBLE', 'INCREASE', 'THIRD', 'x', 'y')	double	Length = 4	(2, 3, 6, 2)	2	2	3	6	increase	DIVIDE	third	BUUUxy	NA	NA	NA	NA	0	10	10	10				NA	NA	space	5.36598970897	2	1	7.94297275079	2015_Jul_07_1549	287.31282802	KRITL	1	31005	NA	1.68008083418012	0.186358911260743	2.07228760705088	0.125897448143775	Chunks = 2	4th
938				NA	NA		NA	NA	('DIVIDE', 'DOUBLE', 'INCREASE', 'THIRD', 'x', 'y')	double	Length = 4	(2, 3, 6, 2)	2	2	3	6	increase	DIVIDE	third	BUUUxy	NA	NA	NA	NA	0	10	10	10			NA	NA	NA	space	2.74987621277	2	1	4.1831106646	2015_Jul_07_1543	60.0017041557	KRITL	1	31006	NA	1.01155589712716	0.363652732932542	1.43105514790739	0.23905654910414	Chunks = 2	4th
939				NA	NA		NA	NA	('DIVIDE', 'DOUBLE', 'INCREASE', 'THIRD', 'x', 'y')	double	Length = 4	(2, 3, 6, 2)	2	2	3	6	increase	DIVIDE	third	BUUUxy	NA	NA	NA	NA	0	12	12	10			NA	NA	NA	space	3.63523547474	2	1	7.49704230089	2015_Jul_07_1404	360.230878236	KRITL	1	31002	NA	1.2906738887333	0.275085343700197	2.01450858288062	0.133385935394987	Chunks = 2	4th
942				NA	NA		NA	NA	('DIVIDE', 'DOUBLE', 'INCREASE', 'THIRD', 'x', 'y')	double	Length = 4	(2, 3, 6, 2)	2	2	3	6	increase	DIVIDE	third	BUUUxy	NA	NA	NA	NA	0	12	12	10			NA	NA	NA	space	11.0447263234	2	1	9.7832750987	2015_Jul_14_1534	340.004537469	KRITL	1	31022	NA	2.40195305824006	0.0905409487495712	2.28067430515557	0.102215259196062	Chunks = 2	4th
943				NA	NA		NA	NA	('DIVIDE', 'DOUBLE', 'INCREASE', 'THIRD', 'x', 'y')	double	Length = 4	(2, 3, 6, 2)	2	2	3	6	increase	DIVIDE	third	BUUUxy	NA	NA	NA	NA	0	14	14	10				NA	NA	space	2.10280072276	2	1	8.9905233389	2015_Jul_16_1551	None	KRITL	1	31026	NA	0.743270133676241	0.475556237534228	2.19617106023747	0.111228230249203	Chunks = 2	4th
